,commission,date,number,product_name,status,total_amount,site]
0,20.81,2018-05-18,#2181,May 2018 Mattress Cover $20.81,Complete,288.98,thesleepjudge.com
2,12.67,2018-05-17,#2176,May Mattress $12.67,Complete,175.99,thesleepjudge.com
3,0.0,2018-05-17,#2175,May Mattress $0.00,Canceled,217.99,thesleepjudge.com
1,14.4,2018-05-17,#2178,May Mattress $14.40,Complete,199.99,thesleepjudge.com
4,32.64,2018-05-16,#2173,"May 2018 Mattress Down Pillow
Nacreous Cover $32.64",Complete,407.97,thesleepjudge.com
5,17.44,2018-05-16,#2172,May Mattress $17.44,Complete,217.99,thesleepjudge.com
6,17.13,2018-05-16,#2171,May 2018 Mattress Essentials Dreamlite Mask $17.13,Complete,237.98,thesleepjudge.com
7,14.4,2018-05-16,#2168,May Mattress $14.40,Complete,199.99,thesleepjudge.com
8,25.92,2018-05-16,#2167,"May 2018 Mattress - Queen White
Nacreous Pillow Covers - Queen White (2-pack)
Nacreous Pillow Covers - Queen (2-pack) $25.92",Complete,359.97,thesleepjudge.com
9,17.44,2018-05-15,#2166,May Mattress $17.44,Complete,217.99,thesleepjudge.com
10,16.24,2018-05-15,#2164,May Mattress $16.24,Complete,217.99,thesleepjudge.com
11,14.8,2018-05-15,#2162,May Mattress $14.80,Complete,199.99,thesleepjudge.com
12,28.22,2018-05-15,#2161,May 2018 Mattress Cover $28.22,Complete,391.97,thesleepjudge.com
15,13.68,2018-05-14,#2158,May Mattress $13.68,Complete,189.99,thesleepjudge.com
13,16.92,2018-05-14,#2160,May Mattress $16.92,Complete,234.99,thesleepjudge.com
14,17.44,2018-05-14,#2159,May Mattress $17.44,Complete,217.99,thesleepjudge.com
16,18.8,2018-05-13,#2157,May Mattress $18.80,Complete,234.99,thesleepjudge.com
17,18.8,2018-05-13,#2156,May Mattress $18.80,Complete,234.99,thesleepjudge.com
18,12.88,2018-05-13,#2155,May Mattress $12.88,Complete,175.99,thesleepjudge.com
19,23.47,2018-05-13,#2154,"May 2018 Mattress - King
Cumulus Pillow - Soft $23.47",Complete,325.97,thesleepjudge.com
20,14.4,2018-05-13,#2153,May Mattress $14.40,Complete,199.99,thesleepjudge.com
21,12.67,2018-05-13,#2152,May Mattress $12.67,Complete,175.99,thesleepjudge.com
22,16.24,2018-05-13,#2150,May Mattress $16.24,Complete,217.99,thesleepjudge.com
23,14.08,2018-05-12,#2148,May Mattress $14.08,Complete,175.99,thesleepjudge.com
24,10.8,2018-05-12,#2147,May Mattress $10.80,Complete,134.99,thesleepjudge.com
28,16.24,2018-05-11,#2138,May Mattress $16.24,Complete,217.99,thesleepjudge.com
29,17.44,2018-05-11,#2137,May Mattress $17.44,Complete,217.99,thesleepjudge.com
27,32.8,2018-05-11,#2139,May 2018 Mattress Set $32.80,Complete,424.98,thesleepjudge.com
25,10.8,2018-05-11,#2143,May Mattress $10.80,Complete,134.99,thesleepjudge.com
26,15.38,2018-05-11,#2141,May Mattress $15.38,Complete,192.24,thesleepjudge.com
30,14.18,2018-05-09,#2132,May Mattress $14.18,Complete,192.24,thesleepjudge.com
31,16.92,2018-05-09,#2131,May Mattress $16.92,Complete,234.99,thesleepjudge.com
32,15.2,2018-05-08,#2128,May Mattress $15.20,Complete,189.99,thesleepjudge.com
33,15.7,2018-05-08,#2126,May Mattress $15.70,Complete,217.99,thesleepjudge.com
34,18.8,2018-05-08,#2123,May Mattress $18.80,Complete,234.99,thesleepjudge.com
41,15.7,2018-05-07,#2115,May Mattress $15.70,Complete,217.99,thesleepjudge.com
45,20.16,2018-05-07,#2111,May Mattress $20.16,Complete,279.98,thesleepjudge.com
44,16.24,2018-05-07,#2112,May Mattress $16.24,Complete,217.99,thesleepjudge.com
43,17.44,2018-05-07,#2113,May Mattress $17.44,Complete,217.99,thesleepjudge.com
42,11.78,2018-05-07,#2114,May Mattress $11.78,Complete,147.24,thesleepjudge.com
40,17.44,2018-05-07,#2116,May Mattress $17.44,Complete,217.99,thesleepjudge.com
39,13.68,2018-05-07,#2118,May Mattress $13.68,Complete,170.99,thesleepjudge.com
38,15.7,2018-05-07,#2119,May Mattress $15.70,Complete,217.99,thesleepjudge.com
37,18.8,2018-05-07,#2120,May Mattress $18.80,Complete,234.99,thesleepjudge.com
36,16.92,2018-05-07,#2121,May Mattress $16.92,Complete,234.99,thesleepjudge.com
35,16.0,2018-05-07,#2122,May Mattress $16.00,Complete,199.99,thesleepjudge.com
46,15.38,2018-05-06,#2110,May Mattress $15.38,Complete,192.24,thesleepjudge.com
47,16.92,2018-05-06,#2109,May Mattress $16.92,Complete,234.99,thesleepjudge.com
48,12.88,2018-05-06,#2108,May Mattress $12.88,Complete,175.99,thesleepjudge.com
49,9.29,2018-05-05,#2101,"May Pillow
Cumulus $9.29",Complete,128.98,thesleepjudge.com
50,11.88,2018-05-05,#2099,May Mattress $11.88,Complete,164.99,thesleepjudge.com
51,15.7,2018-05-05,#2098,May Mattress $15.70,Complete,217.99,thesleepjudge.com
52,8.8,2018-05-05,#2097,2018 $8.80,Complete,109.98,thesleepjudge.com
56,16.02,2018-05-04,#2090,May 2018 Pillow $16.02,Complete,200.23,thesleepjudge.com
57,17.44,2018-05-04,#2089,May Mattress $17.44,Complete,217.99,thesleepjudge.com
58,12.67,2018-05-04,#2086,May Mattress $12.67,Complete,175.99,thesleepjudge.com
55,18.14,2018-05-04,#2091,May 2018 Pillow Pad $18.14,Complete,241.73,thesleepjudge.com
53,16.92,2018-05-04,#2094,May Mattress $16.92,Complete,234.99,thesleepjudge.com
54,16.24,2018-05-04,#2093,May Mattress $16.24,Complete,217.99,thesleepjudge.com
59,16.24,2018-05-03,#2085,May Mattress $16.24,Complete,217.99,thesleepjudge.com
61,12.67,2018-05-03,#2083,May Mattress $12.67,Complete,175.99,thesleepjudge.com
62,16.92,2018-05-03,#2082,May Mattress $16.92,Complete,234.99,thesleepjudge.com
63,16.24,2018-05-03,#2080,May Mattress $16.24,Complete,217.99,thesleepjudge.com
60,16.92,2018-05-03,#2084,May Mattress $16.92,Complete,234.99,thesleepjudge.com
64,14.4,2018-05-02,#2079,May Mattress $14.40,Complete,199.99,thesleepjudge.com
65,9.52,2018-05-02,#2077,May Mattress $9.52,Complete,139.99,thesleepjudge.com
66,16.92,2018-05-02,#2076,May Mattress $16.92,Complete,234.99,thesleepjudge.com
67,17.6,2018-05-02,#2073,May Mattress $17.60,Complete,234.99,thesleepjudge.com
68,13.68,2018-05-02,#2072,May Mattress $13.68,Complete,189.99,thesleepjudge.com
69,16.92,2018-05-02,#2071,May Mattress $16.92,Complete,234.99,thesleepjudge.com
72,17.44,2018-05-01,#2064,May Mattress $17.44,Complete,217.99,thesleepjudge.com
73,16.24,2018-05-01,#2063,May Mattress $16.24,Complete,217.99,thesleepjudge.com
70,12.48,2018-05-01,#2066,May Mattress $12.48,Complete,170.99,thesleepjudge.com
71,14.4,2018-05-01,#2065,May Mattress $14.40,Complete,199.99,thesleepjudge.com
74,12.67,2018-04-30,#2062,Apr Mattress $12.67,Complete,175.99,thesleepjudge.com
75,16.24,2018-04-30,#2060,Apr Mattress $16.24,Complete,217.99,thesleepjudge.com
76,26.96,2018-04-30,#2059,Apr Mattress $26.96,Complete,351.98,thesleepjudge.com
77,14.08,2018-04-29,#2058,Apr Mattress $14.08,Complete,175.99,thesleepjudge.com
78,15.7,2018-04-29,#2057,Apr Mattress $15.70,Complete,217.99,thesleepjudge.com
79,30.8,2018-04-28,#2056,Apr Mattress $30.80,Complete,399.98,thesleepjudge.com
80,3.52,2018-04-28,#2055,2018 $3.52,Complete,54.99,thesleepjudge.com
81,16.24,2018-04-28,#2054,Apr Mattress $16.24,Complete,217.99,thesleepjudge.com
82,12.48,2018-04-28,#2052,Apr Mattress $12.48,Complete,170.99,thesleepjudge.com
83,56.4,2018-04-27,#2051,Apr 2018 Mattress Pad $56.40,Complete,704.97,thesleepjudge.com
84,16.0,2018-04-27,#2050,Apr Mattress $16.00,Complete,199.99,thesleepjudge.com
87,16.0,2018-04-26,#2045,Apr Mattress $16.00,Complete,199.99,thesleepjudge.com
88,18.8,2018-04-26,#2044,Apr Mattress $18.80,Complete,234.99,thesleepjudge.com
86,16.92,2018-04-26,#2046,Apr Mattress $16.92,Complete,234.99,thesleepjudge.com
85,15.7,2018-04-26,#2049,Apr Mattress $15.70,Complete,217.99,thesleepjudge.com
89,16.92,2018-04-25,#2042,Apr Mattress $16.92,Complete,234.99,thesleepjudge.com
90,14.4,2018-04-24,#2041,Apr Mattress $14.40,Complete,199.99,thesleepjudge.com
91,26.42,2018-04-24,#2040,Apr 2018 Mattress Cover $26.42,Complete,366.97,thesleepjudge.com
92,13.68,2018-04-24,#2039,Apr Mattress $13.68,Complete,189.99,thesleepjudge.com
93,14.4,2018-04-24,#2038,Apr Mattress $14.40,Complete,199.99,thesleepjudge.com
