,clicks,landing_page,site,store_view,traffic_source,uniuqe_clicks
0,1,/our-products/cooling-pillows-cooling-pillow-covers.html,thesleepjudge.com,Default Store View,N/A,0
1,1,/nacreous-pillow-cover.html,thesleepjudge.com,Default Store View,N/A,0
2,2,/our-products/cooling-pillows-cooling-pillow-covers/nacreous-pillow-cover.html,thesleepjudge.com,Default Store View,www.slumbercloud.com,0
3,1,/our-products/cooling-mattress-pads/dryline-mattress-protector.html,thesleepjudge.com,Default Store View,alert.scansafe.net,0
4,1,/our-products/cooling-mattress-pads/cirriform-mattress-pad.html,thesleepjudge.com,Default Store View,yandex.ru,0
5,1,/our-products/cooling-pillows-cooling-pillow-covers/cumulus-pillows.html,thesleepjudge.com,Default Store View,739856a093634d33a53224de8a861e5a.pages.ubembed.com,0
6,1,/stratus-sheet-set.html,thesleepjudge.com,Default Store View,N/A,0
7,2,/our-products/cooling-sheets.html/,thesleepjudge.com,Default Store View,www.thesleepjudge.com,0
8,1,/our-products/cooling-sheets.html/,thesleepjudge.com,Default Store View,N/A,0
9,8,/stratus-sheet-set.html,thesleepjudge.com,Default Store View,www.thesleepjudge.com,0
10,1,/our-products/cooling-mattress-pads/dryline-mattress-protector.html,thesleepjudge.com,Default Store View,www.pinterest.com,0
11,5,/stratus-wool-blanket.html,thesleepjudge.com,Default Store View,739856a093634d33a53224de8a861e5a.pages.ubembed.com,0
12,3,/our-products/cooling-pillows-cooling-pillow-covers/cumulus-pillows.html,thesleepjudge.com,Default Store View,www.slumbercloud.com,0
13,1,/our-products/cooling-mattress-pads/nacreous-mattress-pad.html,thesleepjudge.com,Default Store View,mail.yahoo.com,0
14,3,/our-products/cooling-mattress-pads/nacreous-mattress-pad.html,thesleepjudge.com,Default Store View,www.bestmattressreviews.com,0
15,1,/our-products/cooling-pillows-cooling-pillow-covers/cumulus-pillows.html,thesleepjudge.com,Default Store View,www.amazon.com,0
16,1,/our-products/cooling-mattress-pads/nacreous-mattress-pad.html,thesleepjudge.com,Default Store View,local.hotjar.com,0
17,1,/our-products/cooling-mattress-pads/dryline-mattress-protector.html,thesleepjudge.com,Default Store View,notice.exede.net,0
18,1,/our-products/cooling-mattress-pads/nacreous-mattress-pad.html,thesleepjudge.com,Default Store View,www.pinterest.com.au,0
